# https://data.ripple.com/ and whois results
# Ripple Nodes
IP Address|Version|ASN|BGP Prefix|CC|Registry|Allocated|AS Name|Publice Key
1.255.51.125|rippled-1.7.0|23576|1.255.50.0/23|KR|apnic|2010-07-19|NHN-AS-KR NAVER Cloud Corp., KR|n9Kjf2Pbrbjo94jcFyxgYDKaGsKMjbXUuknvF9qa57fTpvc5RMCT
1.255.57.150|rippled-1.5.0|23576|1.255.56.0/23|KR|apnic|2010-07-19|NHN-AS-KR NAVER Cloud Corp., KR|n9LueE775StXSFNPbGh3RmjXQv2UpVfccudSdQ9FpWh5zMrGgvB3
100.24.90.244|rippled-1.1.0|14618|100.24.0.0/13|US|arin|2018-01-10|AMAZON-AES, US|n9JgtXqBRm18uTMUQXCF5Xhhs13oP8PT3DFnJpM4sEbfc1QnAeJR
100.35.218.102|rippled-1.7.0-rc3|701|100.35.0.0/16|US|arin|2010-12-28|UUNET, US|n9KYbHqothxYqPJm45hJYhwoF4zQxpSQtBptVUWVYYpundZRUmW6
103.145.20.5|rippled-1.7.0|59253|103.145.20.0/24|HK|apnic|2019-11-07|LEASEWEB-APAC-SIN-11 Leaseweb Asia Pacific pte. ltd., SG|n9LF6qARhf8mumU1fthdFp4Db1YwEPgfzFm5BLJiw58ALbQx5vye
103.149.26.172|rippled-1.6.0|135377|103.149.26.0/24|HK|apnic|2020-03-04|UCLOUD-HK-AS-AP UCLOUD INFORMATION TECHNOLOGY (HK) LIMITED, HK|n9Mh8VnkZLSC61u8bPYs3szzYumdN8o9p7uKMEn7zMXCsqYQgq72
103.153.62.154|rippled-1.7.0|140457|103.153.62.0/24|ID|apnic|2020-07-13|IMEDIANET-AS-ID PT Ikhlas Cipta Teknologi, ID|n9M5BkQ147YBRfGA5o4YvTywDmZmj6eKmzvcbktQnk67amuBLLqf
103.4.12.205|rippled-1.7.0|16509|103.4.8.0/21|JP|apnic|2011-05-06|AMAZON-02, US|n9MfK1L2QKk366ua59nppV2JBuKSKvmRJwywamDKNg1CE6NMLDsD
103.71.157.239|rippled-1.7.0|133203|103.71.157.0/24|JP|apnic|2016-08-11|SBIBITS-JP SBI BITS Co., Ltd., JP|n9JAaqbjMe4hXFP5NBjd1agy5phyhZvrU8wGZHA7g1f7rvwuhpdZ
103.71.158.176|rippled-1.7.0|133203|103.71.158.0/24|JP|apnic|2016-08-11|SBIBITS-JP SBI BITS Co., Ltd., JP|n9MEdMXNhyxCUWx8JkgebCJSRfiJND8WEYTFujJi2fd7mF6MZCEh
104.155.142.222|rippled-1.7.0|15169|104.155.128.0/19|US|arin|2014-07-09|GOOGLE, US|n9Lu6s8qUYfUvrj3GYioqxCpTMvqixWNUUyHoVQTUNs9J27df55U
104.198.105.7|rippled-1.8.0-b2|15169|104.198.96.0/19|US|arin|2014-08-27|GOOGLE, US|n9MycvYeM8az43DwRRsPRxw9sC3rq3y1H8efqiNZcU8F2od5Tqgi
