# https://api.eosnetworkmonitor.io and whois results
# EOS
IP Address|Port|ASN|BGP Prefix|CC|Registry|Allocated|AS Name
0.15.18.32|80|NA|NA||other||NA
10.0.2.7|9000|NA|NA||other||NA
103.211.167.110|9876|138011|103.211.167.0/24|CN|apnic|2016-03-17|SPCINTL-AS-AP Speedy Cloud International Co., Ltd, HK
104.156.59.167|9876|29802|104.156.59.0/24|US|arin|2014-07-14|HVC-AS, US
104.21.22.6|88|13335|104.21.16.0/20|US|arin|2014-03-28|CLOUDFLARENET, US
104.21.38.29|9877|13335|104.21.32.0/20|US|arin|2014-03-28|CLOUDFLARENET, US
104.21.45.99|445|13335|104.21.32.0/20|US|arin|2014-03-28|CLOUDFLARENET, US
104.21.60.13|9876|13335|104.21.48.0/20|US|arin|2014-03-28|CLOUDFLARENET, US
104.26.8.83|443|13335|104.26.0.0/20|US|arin|2014-03-28|CLOUDFLARENET, US
104.26.9.83|443|13335|104.26.0.0/20|US|arin|2014-03-28|CLOUDFLARENET, US
108.171.210.180|9876|18450|108.171.210.0/24|US|arin|2012-02-29|WEBNX, US
109.228.61.221|9882|8560|109.228.0.0/18|GB|ripencc|2010-02-04|IONOS-AS This is the joint network for IONOS, Fasthosts, Arsys, 1&1 Mail and Media and 1&1 Telecom. Formerly known as 1&1 Internet SE., DE
120.197.130.118|9876|56040|120.197.0.0/16|CN|apnic|2008-04-14|CMNET-GUANGDONG-AP China Mobile communications corporation, CN
13.114.33.79|9876|16509|13.112.0.0/14|US|arin|2016-08-09|AMAZON-02, US
13.115.41.26|18181|16509|13.112.0.0/14|US|arin|2016-08-09|AMAZON-02, US
13.209.109.137|59876|16509|13.209.0.0/16|US|arin|2019-10-01|AMAZON-02, US
13.231.237.24|8333|16509|13.230.0.0/15|US|arin|2019-10-01|AMAZON-02, US
13.55.27.79|9876|16509|13.54.0.0/15|US|arin|2020-08-05|AMAZON-02, US
13.58.70.13|9876|16509|13.58.0.0/15|US|arin|2020-08-05|AMAZON-02, US
13.59.53.244|9876|16509|13.58.0.0/15|US|arin|2020-08-05|AMAZON-02, US
13.71.186.50|9800|8075|13.64.0.0/11|US|arin|2015-03-26|MICROSOFT-CORP-MSN-AS-BLOCK, US
