# https://api.nanocrawler.cc/ and whois results
# Nano
IP Address|Version|Protocol Version|ASN|BGP Prefix|CC|Registry|Allocated|AS Name|Node Account
104.131.169.14|Nano V22.0|18|14061|104.131.160.0/20|US|arin|2014-06-02|DIGITALOCEAN-ASN, US|nano_3abuqtbaotp9myn6ihb6mg96hf7jnapuddydf6ytgd174t4phg86nnq4cmxj
104.21.56.233|Nano V22.1|18|13335|104.21.48.0/20|US|arin|2014-03-28|CLOUDFLARENET, US|nano_1iuz18n4g4wfp9gf7p1s8qkygxw7wx9qfjq6a9aq68uyrdnningdcjontgar
104.21.73.65|Nano V22.1|18|13335|104.21.64.0/20|US|arin|2014-03-28|CLOUDFLARENET, US|nano_37ortkby6k68z8tkk8g63ndbp8wjbmofhn56oyxb4rm6s3x51pkpiwcnpgmq
104.21.79.246|Nano V22.1|18|13335|104.21.64.0/20|US|arin|2014-03-28|CLOUDFLARENET, US|nano_3uaydiszyup5zwdt93dahp7mri1cwa5ncg9t4657yyn3o4i1pe8sfjbimbas
104.248.18.191|Nano V21.3|18|14061|104.248.16.0/20|US|arin|2018-08-06|DIGITALOCEAN-ASN, US|nano_3qkwwsm7tj8iy8qdd6erjtaydp39to5xu5biewdtm79rfxd5ztfox4rsghoj
104.248.235.189|Nano V21.3|18|14061|104.248.224.0/20|US|arin|2018-08-06|DIGITALOCEAN-ASN, US|nano_14yi949jig9mbr5aqcmy661apag6ni5axhw4zht44qxi4kt99e79znrqdpoz
116.202.52.114|Nano V22.1|18|24940|116.202.0.0/16|DE|ripencc|2011-01-17|HETZNER-AS, DE|nano_34zuxqdsucurhjrmpc4aixzbgaa4wjzz6bn5ryn56emc9tmd3pnxjoxfzyb6
116.203.130.224|Nano V22.1|18|24940|116.203.0.0/16|DE|ripencc|2011-01-17|HETZNER-AS, DE|nano_11zix1ojeniorw8ipibru4syticgmd6qimh8wws4fdo5ch7q8ogxc9w9yn4c
116.203.62.225|Nano V22.0||24940|116.203.0.0/16|DE|ripencc|2011-01-17|HETZNER-AS, DE|nano_1x7biz69cem95oo7gxkrw6kzhfywq4x5dupw4z1bdzkb74dk9kpxwzjbdhhs
134.209.200.73|Nano V22.0|18|14061|134.209.192.0/20|US|arin|2018-10-18|DIGITALOCEAN-ASN, US|nano_1mime3jd7dbnshd6zw1gjqax5zit31h6y1x6pczfuz7au33ftacjib5cc1ez
138.68.165.210|Nano V22.0|18|14061|138.68.160.0/20|US|arin|2016-01-26|DIGITALOCEAN-ASN, US|nano_3pczxuorp48td8645bs3m6c3xotxd3idskrenmi65rbrga5zmkemzhwkaznh
139.59.181.118|Nano V22.1|18|14061|139.59.176.0/20|SG|apnic|1990-06-27|DIGITALOCEAN-ASN, US|xrb_18bpu81x4oyqsjjsyaeb7ek4rag1bw8gerhaiumookzc4t5prrm4d7zg56ww
140.116.245.162|Nano V22.1|18|1659|140.112.0.0/12|TW|apnic|1990-03-24|ERX-TANET-ASN1 Taiwan Academic Network (TANet) Information Center, TW|nano_1bko7zpcow7w6e11az8tnxdnyszgkt61miwuo9i9pom3czdzxqknpiuc7tdb
143.198.59.250|Nano V22.1|18|14061|143.198.48.0/20|US|arin|2020-01-24|DIGITALOCEAN-ASN, US|nano_1sw898hgeexgrsq8x16wdadwdrs3obn418z6x98parb5tymz879mu89qndju
143.198.99.59|Nano V22.1|18|14061|143.198.96.0/20|US|arin|2020-01-24|DIGITALOCEAN-ASN, US|nano_1obpr1fmojfd8ajnb9fmcdt1rh3kgtfsde8kwypoq89zrxuwrm7uy6uamspp
157.90.160.221|Nano V22.1|18|24940|157.90.0.0/16|DE|ripencc|1996-12-16|HETZNER-AS, DE|nano_1ba7uuq9kt68jzzw51a5kt577xtzaq37cnj8otqbhhnkgjyhwu91wtsjacez
159.65.161.206|Nano V22.0|18|14061|159.65.160.0/20|US|arin|2017-10-24|DIGITALOCEAN-ASN, US|nano_3g6ue89jij6bxaz3hodne1c7gzgw77xawpdz4p38siu145u3u17c46or4jeu
159.65.230.193|Nano V22.1|18|14061|159.65.224.0/20|US|arin|2017-10-24|DIGITALOCEAN-ASN, US|nano_33ad5app7jeo6jfe9ure6zsj8yg7knt6c1zrr5yg79ktfzk5ouhmpn6p5d7p
159.89.118.122|Nano V22.1|18|14061|159.89.112.0/20|US|arin|2017-07-07|DIGITALOCEAN-ASN, US|nano_1fuckbtc6p55wt64eo4rz7brq3ubjfd8unhz3it5fbdpta8tww7ywk8p9su7
164.68.121.140|Nano V22.1|18|51167|164.68.120.0/23|DE|ripencc|1992-12-17|CONTABO, DE|nano_3u7d5iohy14swyhxhgfm9iq4xa9yibhcgnyj697uwhicp14dhx4woik5e9ek
164.90.136.60|Nano V22.0|18|14061|164.90.128.0/20|US|arin|2019-08-19|DIGITALOCEAN-ASN, US|nano_1u7anedrbmqx4gr8x44r6k4egg9nhi75yb1qsz63e5ykhz3mx3r3jw463r3t
165.227.25.198|Nano V22.1|18|14061|165.227.16.0/20|US|arin|2016-10-06|DIGITALOCEAN-ASN, US|nano_1aqkrayihxzdahoxpjrg8o6mxgxfzq46hhcdm1u48w3qexsakx7pzzhjn3fc
167.71.245.153|Nano V22.1|18|14061|167.71.240.0/20|US|arin|2019-04-24|DIGITALOCEAN-ASN, US|nano_1ebq356ex7n5efth49o1p31r4fmuuoara5tmwduarg7b9jphyxsatr3ja6g8
167.71.87.249|Nano V22.1|18|14061|167.71.80.0/20|US|arin|2019-04-24|DIGITALOCEAN-ASN, US|nano_1frogs8fqpdk17w17dpsdbgtbcdmm4egnty8oinxppkwykjzedrbt3suh4as
